"cell_type","n_used","n_genes","deg_cell","deg_pb","meanexpr_cellDEG","meanexpr_all"
"20",60000,1154,833,201,0.854762332396821,0.783043279833004
"12",60000,1831,1706,644,0.829492028456546,0.835170754951751
"9",60000,1754,1558,562,0.854885116302774,0.868427310157187
"11",60000,1695,1586,586,0.843312098087787,0.84891439222479
"4",60000,1527,1389,505,0.829008099880296,0.818492587797703
"7",53537,1581,1473,477,0.82711295766184,0.831603515855281
"18",45660,1392,1029,309,0.857652367940533,0.806513491342126
"6",32160,1448,1286,334,0.81810866120965,0.797620096083863
"1",27381,1425,1314,333,0.822793729753652,0.820823875609805
"10",27222,1901,1616,543,0.886461152859103,0.865690109489314
"23",25876,1184,765,156,0.820846229121752,0.766104287512676
"19",19325,1400,797,123,0.887316543946299,0.817276538100888
"16",15034,1822,1286,468,0.960553705741508,0.877508593221715
"3",14225,1444,1051,186,0.85207549076113,0.795488763738938
"0",13040,1560,1401,315,0.820675886113696,0.83331786011932
"17",11569,1697,1493,293,0.83988971797767,0.855843004833214
"14",11042,1831,1302,414,0.95021929247329,0.873885074006524
"15",9995,1889,1466,498,0.877520505850482,0.850332038603575
"8",7064,1438,1031,230,0.871843814675242,0.81874051190382
"2",6008,1607,1174,255,0.825694771061045,0.800346691574115
"22",2911,1294,178,4,0.933448990193377,0.752458238391502
"13",1475,2126,846,10,0.908376457915365,0.801493469403538
"21",1408,1225,108,9,1.02265226505974,0.778748866408218
"5",933,1682,173,9,0.988001557663131,0.848193534045884
