"gene","MTG_dz","MTG_corrected","A9_dz","A9_corrected"
"SLC16A1",-0.0161,-0.0318,-0.0921,-0.0867
"SLC16A3",-0.0676,-0.0833,-0.0239,-0.0186
"SLC16A7",-0.084,-0.0998,-0.055,-0.0497
"LDHA",0.086,0.0703,-0.0461,-0.0407
"LDHB",0.0205,0.0047,-0.0788,-0.0734
"SLC2A1",0.1414,0.1256,-0.0177,-0.0124
"SLC2A3",0.1126,0.0969,-0.1117,-0.1064
"HK1",0.024,0.0082,-0.1363,-0.1309
"GAPDH",0.045,0.0293,-0.173,-0.1676
"PKM",0.0122,-0.0036,-0.1263,-0.121
"PGK1",-0.0047,-0.0204,-0.1102,-0.1048
"ENO2",-0.0467,-0.0624,-0.1223,-0.1169
"ALDOA",0.0284,0.0126,-0.0758,-0.0704
"PFKL",-0.0454,-0.0612,0.0038,0.0091
"NDUFS1",-0.0081,-0.0238,-0.0367,-0.0314
"MOG",0.0161,3e-04,-0.0627,-0.0573
"MAG",-0.0408,-0.0566,-0.0051,3e-04
"MBP",0.0322,0.0164,-0.0205,-0.0152
"PLP1",0.1079,0.0922,-0.1252,-0.1198
"MAPT",0.1379,0.1221,-0.1791,-0.1737
"TFEB",-0.0187,-0.0344,-0.0441,-0.0387
