"Category","Marker","Excluded_by_design"
"Reactive astrocyte","GFAP",""
"Reactive astrocyte","SERPINA3",""
"Reactive astrocyte","VIM",""
"Reactive astrocyte","FBLN5",""
"Reactive astrocyte","AQP4",""
"Reactive astrocyte","MERTK",""
"Reactive astrocyte","MFGE8",""
"Reactive astrocyte","SOX9",""
"Reactive astrocyte","FKBP5",""
"A1 signaling","C3",""
"A1 signaling","STAT1",""
"A1 signaling","STAT3",""
"A1 signaling","SOCS3",""
"A1 signaling","NFKB1",""
"Inflammation","IL1B",""
"Inflammation","IL6",""
"Inflammation","TNF",""
"Inflammation","CCL2",""
"Inflammation","CXCL12",""
"Inflammation","CXCL16",""
"Vascular","ICAM1",""
"Vascular","VCAM1",""
"Vascular","VWF",""
"Vascular","SELE",""
"Vascular","OCLN",""
"Vascular","PECAM1",""
"AD risk","APOE",""
"AD risk","CLU",""
"AD risk","TREM2",""
"AD risk","CR1",""
"AD risk","CD33",""
"Iron / oxidative","FTH1",""
"Iron / oxidative","FTL",""
"Iron / oxidative","HMOX1",""
"Iron / oxidative","NFE2L2",""
"Iron / oxidative","TFRC",""
"Injury / protective","NEFL",""
"Injury / protective","BDNF",""
"Injury / protective","GDNF",""
"Injury / protective","NGF",""
"AD core / cell death","APP",""
"AD core / cell death","CASP3",""
"AD core / cell death","BCL2",""
"AD core / cell death","TP53",""
