"gene","logFC","FDR","is_leng_homeo"
"MERTK",-0.79355504229189,0.00435706660551311,FALSE
"NRXN1",-0.671071779003215,1.64109325694081e-06,TRUE
"SLC1A2",-0.636196296284339,7.13042335770194e-06,TRUE
"PTN",-0.517482818209987,0.0478146044851977,TRUE
"GPC5",-0.507622624029322,0.000250523371127684,TRUE
"CADM2",-0.404432841578436,0.00476970075425162,TRUE
"SLC1A3",-0.352528981384349,0.0143606821247896,TRUE
"SLC6A11",-0.312768232697161,0.461201110440876,TRUE
"GLUL",-0.205335037269542,0.47226829055195,TRUE
"FKBP5",-0.126417818228199,0.783576503284284,FALSE
"FTH1",-0.0866828380188778,0.816607071867026,FALSE
"PTGDS",0.195609765527302,0.243238793241234,FALSE
"AQP4",0.261696408837514,0.218174605772588,FALSE
"TFRC",0.306097375487142,0.641039976176641,FALSE
"STAT3",0.442613931767667,0.115036973751913,FALSE
"GFAP",12.530131101921,2.95774985946665e-57,FALSE
