"algorithm","breakpoint"
"Hier_k3_bp1",0.206829687177018
"KMeans_k3_bp1",0.206829687177018
"Trajectory_inflection",0.243572577713401
"Segmented_PC3",0.243572577713401
"PCA_PC3",0.263572577713401
"Segmented_PC2",0.271181072174359
"Hier_k3_bp2",0.286888127690932
"PCA_PC2",0.333424147750552
"DP_PC2",0.388049062529516
"KMeans_k3_bp2",0.492878980583906
"CUSUM_PC2",0.539863513777243
"PCA_PC1",0.542978857862007
"Mahal_max_gap",0.597109368019777
"DP_PC1",0.597109368019777
"DP_PC3",0.597109368019777
"CUSUM_PC1",0.654355222262311
"CUSUM_PC3",0.654355222262311
"Segmented_PC1",0.838689013871828
"Variance_jump",0.886456516874987
