"gene","cell_type","csf_dir","brain_dir","sea_ad_dir","spearman_rho","shape","bin_stability","class","framework_read","agreement","source"
"CHI3L1","Astrocyte","up","up","flat",0.078,"non-monotonic(trough@0.45)","5/5","Class II / concordant","CONFIRMED: brain + CSF same direction, cross-axis","DIVERGENT (lit up vs SEA-AD flat)","Lananna2020/CSF-meta"
"CNTN2","Neuron","down","down","flat",0.159,"monotonic","4/5","Class II / concordant","CONFIRMED: brain + CSF same direction, cross-axis","DIVERGENT (lit down vs SEA-AD flat)","Amsterdam-DC"
"GFAP","Astrocyte","up","up","flat",0.105,"non-monotonic(trough@0.65)","4/5","Class II / concordant","CONFIRMED: brain + CSF same direction, cross-axis","DIVERGENT (lit up vs SEA-AD flat)","reactive-astro/plasma"
"HMOX1","Astrocyte","na","up","flat",-0.046,"monotonic","5/5","Class I / region-specific artefact","REFUTED (direction flips across regions)","DIVERGENT (lit up vs SEA-AD flat)","P3"
"NPTX1","Neuron","down","flat","up",0.436,"monotonic","5/5","Class I / modality-specific","modality-limited: CSF signal, no brain transition","DIVERGENT (lit flat vs SEA-AD up)","Dai2026/Lao2026/Xiao2017"
"NPTX2","Neuron","down","down","down",-0.578,"monotonic","5/5","Class II / concordant","CONFIRMED: brain + CSF same direction, cross-axis","CONFIRMED in SEA-AD","Lao2026/Xiao2017"
"NPTXR","Neuron","down","flat","down",-0.229,"non-monotonic(trough@0.75)","5/5","Class I / modality-specific","modality-limited: CSF signal, no brain transition","DIVERGENT (lit flat vs SEA-AD down)","Dai2026/Lao2026/Xiao2017"
"NRGN","Neuron","up","down","flat",0.157,"non-monotonic(trough@0.65)","0/5","Class II (tissue) / modality-INVERSE","brain loss; CSF rise = release readout (do NOT read as brain up)","DIVERGENT (lit down vs SEA-AD flat)","postmortem/Simoa"
"PTGDS","Astrocyte","na","up","down",-0.305,"non-monotonic(peak@0.55)","5/5","Class II (tissue)","brain-replicating transition","DIVERGENT (lit up vs SEA-AD down)","P1+companion"
"SCG2","Neuron","up_ns","down","down",-0.24,"non-monotonic(trough@0.75)","5/5","Class II (tissue) / modality-divergent","brain loss; CSF up/ns -> modality axis unresolved","CONFIRMED in SEA-AD","Lao2026/CSF-mixed"
"SNAP25","Neuron","up","down","flat",-0.148,"non-monotonic(trough@0.25)","5/5","Class II (tissue) / modality-INVERSE","brain loss; CSF rise = release readout (do NOT read as brain up)","DIVERGENT (lit down vs SEA-AD flat)","EV-down/CSF-up"
"TREM2","Microglia","up","up","flat",-0.116,"non-monotonic(peak@0.45)","3/5","Class II / concordant","CONFIRMED: brain + CSF same direction, cross-axis","DIVERGENT (lit up vs SEA-AD flat)","DAM/preclinical"
"VAMP2","Neuron","up","down","up",0.221,"monotonic","5/5","Class II (tissue) / modality-INVERSE","brain loss; CSF rise = release readout (do NOT read as brain up)","DIVERGENT (lit down vs SEA-AD up)","CSF-synapse/EV"
"VGF","Neuron","down","down","down",-0.383,"monotonic","5/5","Class II / concordant","CONFIRMED: brain + CSF same direction, cross-axis","CONFIRMED in SEA-AD","Lao2026/granin-proteoform"
